sample	segment_title	gene	key	gene_order	identity	sql_ratio
Ref_Epa_from_V583	Ref_Epa_from_V583 Segment_1 (Retained); 100001 bp to Scaffold Start; 100000 bp to Scaffold End	OG_002061|1	False	127037	100.0	1.002469135802469
Ref_Epa_from_V583	Ref_Epa_from_V583 Segment_1 (Retained); 100001 bp to Scaffold Start; 100000 bp to Scaffold End	OG_002062|1	False	128267	100.0	1.003787878787879
Ref_Epa_from_V583	Ref_Epa_from_V583 Segment_1 (Retained); 100001 bp to Scaffold Start; 100000 bp to Scaffold End	OG_002063|1	False	129309	100.0	1.008849557522124
Ref_Epa_from_V583	Ref_Epa_from_V583 Segment_1 (Retained); 100001 bp to Scaffold Start; 100000 bp to Scaffold End	OG_002052|2	False	129927	100.0	1.0025510204081634
Ref_Epa_from_V583	Ref_Epa_from_V583 Segment_1 (Retained); 100001 bp to Scaffold Start; 100000 bp to Scaffold End	OG_002065|1	False	131130	100.0	1.0120481927710843
Ref_Epa_from_V583	Ref_Epa_from_V583 Segment_1 (Retained); 100001 bp to Scaffold Start; 100000 bp to Scaffold End	OG_002066|1	False	131439	100.0	1.0025641025641026
Ref_Epa_from_V583	Ref_Epa_from_V583 Segment_1 (Retained); 100001 bp to Scaffold Start; 100000 bp to Scaffold End	OG_002067|1	False	132708	100.0	1.0042735042735043
Ref_Epa_from_V583	Ref_Epa_from_V583 Segment_1 (Retained); 100001 bp to Scaffold Start; 100000 bp to Scaffold End	OG_002068|1	False	133405	100.0	1.0082644628099173
Ref_Epa_from_V583	Ref_Epa_from_V583 Segment_1 (Retained); 100001 bp to Scaffold Start; 100000 bp to Scaffold End	OG_002069|1	False	133770	100.0	1.004149377593361
Ref_Epa_from_V583	Ref_Epa_from_V583 Segment_1 (Retained); 100001 bp to Scaffold Start; 100000 bp to Scaffold End	OG_002070|1	False	134554	100.0	1.0035714285714286
Ref_Epa_from_V583	Ref_Epa_from_V583 Segment_1 (Retained); 100001 bp to Scaffold Start; 100000 bp to Scaffold End	OG_002071|1	False	135489	100.0	1.0029239766081872
Ref_Epa_from_V583	Ref_Epa_from_V583 Segment_1 (Retained); 100001 bp to Scaffold Start; 100000 bp to Scaffold End	OG_002072|1	False	136542	100.0	1.0052631578947369
Ref_Epa_from_V583	Ref_Epa_from_V583 Segment_1 (Retained); 100001 bp to Scaffold Start; 100000 bp to Scaffold End	OG_002073|1	False	137127	100.0	1.0034722222222223
Ref_Epa_from_V583	Ref_Epa_from_V583 Segment_1 (Retained); 100001 bp to Scaffold Start; 100000 bp to Scaffold End	OG_002074|1	False	138115	100.0	1.0042194092827004
