#BGC Name	Clan Number	Family Number
SESK01000003.1.region002	495	509
SJEZ01000027.1.region002	495	509
SJFD01000036.1.region001	495	509
SJFH01000047.1.region003	495	509
SJFI01000010.1.region003	495	509
SJFL01000001.1.region003	495	509
SKBX01000014.1.region004	495	509
VYXJ01000071.1.region001	495	509
VYXK01000457.1.region001	495	509
VYXL01000205.1.region001	495	509
BEXL01000199.1.region001	495	510
BEXN01000455.1.region001	495	510
BEXP01000371.1.region001	495	510
BEXQ01000469.1.region001	495	510
BEXR01001122.1.region001	495	510
BEXS01001053.1.region001	495	510
CM030976.1.region005	495	510
CP047255.1.region004	495	510
CP051025.1.region005	495	510
CP051081.1.region005	495	510
CP061810.1.region004	495	510
JABVYW010000005.region001	495	510
JAMFMQ010000007.region005	495	510
JANAYE010000051.region001	495	510
JANAYJ010000006.region001	495	510
JANAYN010000021.region001	495	510
JANAYO010000007.region001	495	510
JANAZF010000028.region001	495	510
JANAZG010000029.region001	495	510
JANBAP010000046.region001	495	510
JANCNY010000328.region001	495	510
LOAQ01001458.1.region001	495	510
ML734551.1.region001	495	510
NLCI01000216.1.region001	495	510
NPKL01000012.1.region001	495	510
NWUG02000122.1.region001	495	510
NWUH02000264.1.region005	495	510
QQZZ01000179.1.region002	495	510
RAXJ01000042.1.region001	495	510
RAXL01000064.1.region001	495	510
RAXM01000189.1.region001	495	510
SESK01000187.1.region001	495	510
SJFA01000039.1.region001	495	510
SJFH01000049.1.region001	495	510
SJFL01000023.1.region002	495	510
SKBW01000002.1.region001	495	510
SKBX01000027.1.region001	495	510
SKBZ01000013.1.region002	495	510
VYXK01000387.1.region001	495	510
BEXR01000805.1.region001	495	647
BEXR01001221.1.region001	495	665
BEXR01001563.1.region001	495	677
BEXS01001450.1.region001	495	756
BEXC01000087.1.region001	495	4085
BEXK01000242.1.region001	495	4085
BEXL01000192.1.region001	495	4085
BEXM01000028.1.region001	495	4085
BEXN01000345.1.region001	495	4085
BEXO01000265.1.region001	495	4085
BEXP01000132.1.region001	495	4085
BEXQ01000033.1.region001	495	4085
BEXS01000926.1.region001	495	4085
CM030970.1.region005	495	4085
CP044619.1.region006	495	4085
CP047249.1.region006	495	4085
CP051019.1.region006	495	4085
CP051027.1.region007	495	4085
CP051035.1.region006	495	4085
CP051043.1.region006	495	4085
CP051051.1.region006	495	4085
CP051059.1.region005	495	4085
CP051067.1.region008	495	4085
CP051075.1.region006	495	4085
CP051083.1.region006	495	4085
CP051091.1.region006	495	4085
CP059858.1.region006	495	4085
CP059866.1.region006	495	4085
CP061804.2.region005	495	4085
CP082254.1.region006	495	4085
JABVYR010000009.region001	495	4085
JABVYS010000017.region001	495	4085
JABVYT010000093.region001	495	4085
JABVYU010000005.region001	495	4085
JABVYV010000067.region001	495	4085
JABVYW010000010.region001	495	4085
JABVYX010000033.region001	495	4085
JABVYY010000015.region001	495	4085
JABVYZ010000027.region001	495	4085
JABVZA010000005.region001	495	4085
JABVZB010000015.region001	495	4085
JABVZC010000004.region001	495	4085
JABVZD010000021.region001	495	4085
JABVZE010000001.region001	495	4085
JABVZF010000024.region001	495	4085
JABVZG010000079.region001	495	4085
JABVZH010000014.region001	495	4085
JABVZI010000040.region001	495	4085
JABVZJ010000023.region001	495	4085
JABVZK010000005.region001	495	4085
JAGYXF010000001.region006	495	4085
JALMFT010000012.region001	495	4085
JAMFMO010000027.region001	495	4085
JAMFMP010000001.region001	495	4085
JAMFMQ010000004.region004	495	4085
JAMFMR010000001.region006	495	4085
JAMFMS010000005.region006	495	4085
JAMFMT010000002.region006	495	4085
JAMFMU010000002.region006	495	4085
JAMFMV010000001.region006	495	4085
JAMFMW010000015.region001	495	4085
JAMFMX010000002.region006	495	4085
JANAXC010000003.region001	495	4085
JANAXD010000005.region001	495	4085
JANAXE010000016.region001	495	4085
JANAXF010000015.region001	495	4085
JANAXG010000010.region001	495	4085
JANAXH010000023.region001	495	4085
JANAXI010000097.region001	495	4085
JANAXJ010000098.region001	495	4085
JANAXK010000081.region001	495	4085
JANAXL010000072.region001	495	4085
JANAXM010000028.region001	495	4085
JANAXN010000090.region001	495	4085
JANAXP010000009.region001	495	4085
JANAXQ010000010.region001	495	4085
JANAXR010000099.region001	495	4085
JANAXS010000002.region001	495	4085
JANAXT010000013.region001	495	4085
JANAXU010000077.region001	495	4085
JANAXV010000006.region001	495	4085
JANAXW010000014.region001	495	4085
JANAXX010000021.region001	495	4085
JANAXY010000002.region001	495	4085
JANAXZ010000006.region001	495	4085
JANAYA010000002.region001	495	4085
JANAYB010000010.region001	495	4085
JANAYC010000003.region001	495	4085
JANAYD010000023.region001	495	4085
JANAYE010000028.region001	495	4085
JANAYF010000004.region001	495	4085
JANAYG010000021.region001	495	4085
JANAYH010000008.region001	495	4085
JANAYI010000003.region001	495	4085
JANAYJ010000112.region001	495	4085
JANAYK010000004.region001	495	4085
JANAYL010000002.region001	495	4085
JANAYM010000014.region001	495	4085
JANAYN010000003.region001	495	4085
JANAYO010000141.region001	495	4085
JANAYP010000093.region001	495	4085
JANAYQ010000120.region001	495	4085
JANAYR010000034.region001	495	4085
JANAYS010000014.region001	495	4085
JANAYT010000008.region001	495	4085
JANAYU010000021.region001	495	4085
JANAYV010000023.region001	495	4085
JANAYW010000006.region001	495	4085
JANAYX010000023.region001	495	4085
JANAYY010000006.region001	495	4085
JANAYZ010000098.region001	495	4085
JANAZA010000008.region001	495	4085
JANAZB010000017.region001	495	4085
JANAZC010000010.region001	495	4085
JANAZD010000003.region001	495	4085
JANAZE010000004.region001	495	4085
JANAZF010000004.region001	495	4085
JANAZG010000001.region001	495	4085
JANAZH010000158.region001	495	4085
JANAZI010000093.region001	495	4085
JANAZJ010000007.region001	495	4085
JANAZK010000007.region001	495	4085
JANAZL010000021.region001	495	4085
JANAZM010000076.region001	495	4085
JANAZN010000089.region001	495	4085
JANAZO010000028.region001	495	4085
JANAZP010000019.region001	495	4085
JANAZQ010000080.region001	495	4085
JANAZR010000003.region001	495	4085
JANAZS010000028.region001	495	4085
JANAZT010000029.region001	495	4085
JANAZU010000009.region001	495	4085
JANAZV010000062.region001	495	4085
JANAZW010000124.region001	495	4085
JANAZX010000108.region001	495	4085
JANAZY010000014.region001	495	4085
JANAZZ010000008.region001	495	4085
